Name 	|V| 	|E| 	Lifetime 	Max|Min Degree 	#deg 1|2 	(un)stability 	pair stability 	pair stability v2 	c 	delta1=0, delta2=0 	weak max(gamma,unstability) 	delta1=0, delta2=5 	weak max(gamma,unstability) 	delta1=0, delta2=10 	weak max(gamma,unstability) 	delta1=5, delta2=10 	weak max(gamma,unstability) 	
d/animal/insecta-ant-trophallaxis-colony1-day5.edges	39	26	[6,370]	5|0	11|9	1	0	0	2	0	0	0	0	0	0	1	0	
d/animal/insecta-ant-colony4-day17.edges	102	2089	[1,54]	69|0	0|0	33	9	8	62	8	4	7	4	7	4	34	21	
d/animal/insecta-ant-colony6-day12.edges	165	6625	[1,152]	126|0	0|0	44	11	9	108	9	5	9	5	8	5	44	25	
d/animal/insecta-ant-colony5-day29.edges	152	2866	[1,163]	85|0	0|1	33	9	7	69	7	4	6	4	6	4	36	21	
d/animal/insecta-ant-colony1-day07.edges	114	4077	[1,107]	101|0	0|0	42	12	9	78	9	5	9	5	7	5	42	23	
d/animal/insecta-ant-colony1-day41.edges	113	1129	[1,73]	52|0	0|0	27	8	7	42	7	4	6	4	5	4	27	14	
d/animal/insecta-beetle-group-t3-period-1.edges	30	180	[0,0]	19|0	0|0	19	0	0	13	13	7	13	7	13	7	13	7	
d/animal/insecta-ant-colony3-day10.edges	161	9046	[1,137]	153|0	0|0	61	20	14	126	14	7	14	7	12	7	70	39	
d/animal/insecta-ant-colony3-day29.edges	161	4695	[1,143]	108|0	0|1	42	14	13	90	13	5	13	5	13	5	53	28	
d/animal/insecta-ant-colony3-day33.edges	161	2977	[1,75]	86|0	0|0	30	10	7	69	7	4	7	4	7	4	41	19	
d/animal/insecta-ant-colony2-day23.edges	132	2605	[1,122]	82|0	0|0	41	12	9	64	9	4	9	4	9	4	36	21	
d/animal/insecta-ant-colony3-day09.edges	161	8883	[1,177]	146|0	0|0	67	19	13	125	13	7	13	7	13	7	75	40	
d/animal/insecta-ant-colony4-day29.edges	102	1272	[1,63]	54|0	0|0	21	7	6	48	6	3	4	3	4	3	28	14	
d/animal/insecta-ant-colony5-day09.edges	153	7835	[1,184]	150|0	0|0	50	12	9	116	9	5	9	5	9	5	57	32	
d/animal/reptilia-tortoise-network-cs.edges	74	132	[2006,2015]	15|0	25|16	9	7	4	6	4	3	4	3	4	3	6	4	
d/animal/insecta-ant-colony6-day09.edges	165	10774	[1,221]	158|0	0|0	56	13	9	146	9	5	9	5	9	5	60	36	
d/animal/insecta-ant-colony4-day08.edges	103	3857	[1,63]	97|0	0|0	43	13	13	80	10	5	9	5	9	5	43	27	
d/animal/insecta-ant-colony3-day19.edges	161	6417	[1,192]	127|0	0|0	51	14	10	107	10	5	10	5	9	5	60	32	
d/animal/insecta-ant-colony4-day01.edges	103	4269	[1,97]	101|0	0|0	41	12	11	87	11	5	11	5	11	5	54	30	
d/animal/insecta-ant-colony4-day14.edges	102	2107	[1,108]	71|0	0|0	28	13	7	60	7	4	7	4	6	4	35	20	
d/animal/insecta-ant-colony3.edges	161	12656	[1,376]	159|0	0|0	118	118	116	158	157	132	156	83	156	81	158	87	
d/animal/aves-wildbird-network-1.edges	132	1444	[0,0]	57|0	1|1	57	0	0	30	30	13	30	13	30	13	30	13	
d/animal/reptilia-tortoise-network-sl.edges	12	13	[2012,2013]	4|0	1|6	4	1	1	2	2	1	2	1	2	1	2	1	
d/animal/insecta-ant-colony3-day07.edges	161	8690	[1,155]	151|0	0|0	58	17	15	118	15	7	15	7	15	7	79	40	
d/animal/insecta-ant-colony2-day38.edges	130	963	[1,58]	51|0	0|0	21	8	5	38	5	3	5	3	5	3	23	14	
d/animal/insecta-ant-colony3-day15.edges	161	6403	[1,147]	125|0	0|0	51	15	10	105	10	6	10	6	10	6	62	32	
d/animal/fish-guppy-familiar-10.edges	7	15	[13,26]	5|0	0|0	4	1	1	0	1	1	1	1	0	1	0	1	
d/animal/insecta-ant-colony3-day17.edges	161	6731	[1,158]	129|0	0|0	54	13	12	109	12	6	12	6	11	6	63	31	
d/animal/insecta-beetle-group-c1-period-1.edges	31	185	[0,0]	19|0	0|0	19	0	0	13	13	7	13	7	13	7	13	7	
d/animal/insecta-ant-colony4-day21.edges	102	2120	[1,66]	69|0	0|0	33	10	8	62	8	4	8	4	8	4	30	19	
d/animal/insecta-beetle-group-c1-period-2.edges	31	210	[0,0]	23|0	0|1	23	0	0	14	14	9	14	9	14	9	14	9	
d/animal/insecta-ant-colony2-day05.edges	132	5926	[1,277]	123|0	0|0	45	13	10	98	10	5	10	5	9	5	49	29	
d/animal/insecta-ant-colony6-day11.edges	165	8042	[1,165]	143|0	1|0	40	11	7	107	7	4	7	4	7	4	46	23	
d/animal/insecta-ant-colony2-day34.edges	130	1061	[1,70]	50|0	0|0	22	7	5	43	5	3	5	3	5	3	20	12	
d/animal/aves-sparrow-social.edges	53	454	[0,0]	35|0	0|0	35	0	0	18	18	11	18	11	18	11	18	11	
d/animal/aves-thornbill-farine.edges	63	1151	[1,22]	55|0	0|0	36	21	16	40	16	8	16	8	16	8	37	23	
d/animal/insecta-ant-colony2-day36.edges	130	1015	[1,58]	50|0	0|0	20	7	5	40	5	3	5	3	5	3	23	13	
