Name 	|V| 	|E| 	Lifetime 	Max|Min Degree 	#deg 1|2 	(un)stability 	pair stability 	pair stability v2 	c 	delta1=0, delta2=0 	weak max(gamma,unstability) 	delta1=0, delta2=5 	weak max(gamma,unstability) 	delta1=0, delta2=10 	weak max(gamma,unstability) 	delta1=5, delta2=10 	weak max(gamma,unstability) 	
d/mammalia/mammalia-baboon-grooming-group26.edges	20	25	[1,6]	7|0	5|4	6	2	2	2	2	2	2	2	2	2	2	2	
d/mammalia/mammalia-voles-plj-trapping-14.edges	209	29	[1,5]	5|0	10|13	5	2	2	2	2	2	2	2	2	2	2	2	
d/mammalia/mammalia-voles-rob-trapping-15.edges	392	29	[1,5]	5|0	19|8	5	2	1	1	1	1	1	1	1	1	1	1	
d/mammalia/mammalia-voles-plj-trapping-26.edges	671	515	[1,12]	15|0	12|22	12	8	6	7	6	4	4	4	4	4	7	4	
Name 	|V| 	|E| 	Lifetime 	Max|Min Degree 	#deg 1|2 	(un)stability 	pair stability 	pair stability v2 	c 	delta1=0, delta2=0 	weak max(gamma,unstability) 	delta1=0, delta2=5 	weak max(gamma,unstability) 	delta1=0, delta2=10 	weak max(gamma,unstability) 	delta1=5, delta2=10 	weak max(gamma,unstability) 	
d/mammalia/mammalia-baboon-grooming-group21.edges	9	18	[1,6]	6|0	0|0	4	2	1	5	1	1	1	1	1	1	5	3	
d/mammalia/mammalia-voles-bhp-trapping-47.edges	1286	116	[1,8]	11|0	20|9	11	5	5	3	5	2	3	2	3	2	3	2	
d/mammalia/mammalia-voles-plj-trapping-02.edges	36	21	[1,2]	3|0	14|11	3	2	2	2	2	2	2	2	2	2	2	2	
d/mammalia/mammalia-voles-plj-trapping-19.edges	285	17	[1,4]	3|0	21|2	3	1	1	2	1	1	1	1	1	1	2	1	
d/mammalia/mammalia-voles-rob-trapping-04.edges	140	119	[1,9]	10|0	17|21	9	4	3	2	3	3	2	3	2	3	2	3	
d/mammalia/mammalia-voles-kcs-trapping-63.edges	1213	22	[1,2]	4|0	11|10	4	1	1	1	1	1	1	1	1	1	1	1	
d/mammalia/mammalia-voles-kcs-trapping-16.edges	314	137	[1,12]	8|0	15|15	8	4	4	3	3	3	2	3	2	3	3	3	
d/mammalia/mammalia-voles-bhp-trapping-27.edges	1000	253	[1,9]	14|0	25|41	13	4	3	2	3	3	2	3	2	3	2	3	
d/mammalia/mammalia-voles-kcs-trapping-45.edges	879	12	[1,4]	2|0	10|7	2	1	1	1	1	0	1	0	1	0	1	1	
d/mammalia/mammalia-voles-bhp-trapping-07.edges	124	52	[1,4]	5|0	13|21	5	2	2	2	2	2	2	2	2	2	2	2	
d/mammalia/mammalia-hyena-networkc.edges	36	509	[0,0]	34|0	0|0	34	0	0	30	30	17	30	17	30	17	30	17	
d/mammalia/mammalia-primate-association-18.edges	15	15	[0,2]	5|0	0|0	5	3	3	0	2	2	0	2	0	2	0	2	
